Index,Formula,K,Rb,Cs,MA,FA,Ca,Sr,Ba,Ge,Sn,Pb,Cl,Br,I,Cubic,Tetra,Ortho,Hex,PBE,HSE,Expt,A_ion_rad,A_BP,A_MP,A_dens,A_at_wt,A_EA,A_IE,A_hof,A_hov,A_En,A_at_num,A_period,B_ion_rad,B_BP,B_MP,B_dens,B_at_wt,B_EA,B_IE,B_hof,B_hov,B_En,B_at_num,B_period,X_ion_rad,X_BP,X_MP,X_dens,X_at_wt,X_EA,X_IE,X_hof,X_hov,X_En,X_at_num,X_period
1047,Rb0.01K0.04(Cs0.05(FA0.83MA0.17)0.95)0.95(I0.83Br0.17)3,0.04,0.01,0.05,0.15,0.75,0,0,0,0,0,1,0,0.17,0.83,0,0,1,0,0,0,1,2.39,376.02,323.86,1.07,47.45,12.36,816.52,6.02,32.39,2.39,83.1,7.56,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
1048,Cs0.06FA0.79MA0.15PbI2.55Br0.45,0,0,0.06,0.15,0.79,0,0,0,0,0,1,0,0.15,0.85,0,0,1,0,0,0,1,2.43,348.7,324.85,1.09,48.38,10.83,832.28,6.18,30.55,2.46,86.14,7.73,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1049,(FAPbI3)0.85(MAPbBr3)0.15,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0.15,0.85,0,0,1,0,0,0,1,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1050,(a-FAPbI3)0.5(MAPbI2Br)0.5,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0.17,0.83,0,0,1,0,0,0,1,2.35,293,267.32,0.9,38.56,8.64,887.7,6.31,26.43,2.56,82,7.5,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.56,366.57,4.63,119.07,300.18,1030.32,7.35,19.87,2.71,50,4.83
1051,Cs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,0,0,0.05,0.14,0.81,0,0,0,0,0,1,0,0.15,0.85,0,0,1,0,0,0,1,2.44,343.13,326.94,1.08,47.64,10.47,837.32,6.23,30.23,2.48,86.72,7.77,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1052,MAPbI2.5Br0.5,0,0,0,1,0,0,0,0,0,0,1,0,0.17,0.83,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.56,366.57,4.63,119.07,300.18,1030.32,7.35,19.87,2.71,50,4.83
1053,KxCs0.05(FA0.85MA0.15)0.95Pb(I0.85Br0.15)3,0.03,0,0.03,0.14,0.81,0,0,0,0,0,1,0,0.15,0.85,0,0,1,0,0,0,1,2.44,345.36,327.82,1.06,45.29,10.54,838.4,6.24,30.46,2.48,85.82,7.72,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1054,MAPbI1.5Br1.5,0,0,0,1,0,0,0,0,0,0,1,0,0.5,0.5,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.08,394.68,326.32,4.03,103.4,309.95,1074.15,6.52,17.81,2.81,44,4.5
1055,FAPbBr2.43Cl0.57,0,0,0,0,1,0,0,0,0,0,1,0.19,0.81,0,0,0,1,0,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.93,314.24,248.13,3.14,71.46,329.2,1161.03,4.89,13.87,3,31.58,3.81
1056,MAPbCl3,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.81,239.18,172.17,3.21,35.45,348.8,1251.1,3.21,10.2,3.16,17,3
1057,MAPbCl2.4Br0.6,0,0,0,1,0,0,0,0,0,0,1,0.8,0.2,0,0,0,1,0,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,1.84,257.71,190.93,3.2,44.34,343.96,1228.86,3.63,11.11,3.12,20.6,3.2
1058,(FA0.83MA0.17)0.95Cs0.05Pb(I0.9Br0.1)3,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.1,0.9,0,0,1,0,0,0,1,2.43,342.14,323.65,1.07,47.39,10.47,838.79,6.23,30.13,2.48,86.37,7.75,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,444.94,374.63,4.75,122.2,298.23,1021.55,7.51,20.28,2.69,51.2,4.9
1059,(FA0.79MA0.16Cs0.05)Pb(I0.84Br0.16)3,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.16,0.84,0,0,1,0,0,0,1,2.43,341.93,323.64,1.07,47.37,10.46,837.78,6.22,30.11,2.48,86.32,7.74,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,437.4,367.38,4.64,119.38,299.99,1029.44,7.36,19.91,2.71,50.12,4.84
1060,Cs0.1(MA0.17FA0.83)0.9Pb(I0.83Br0.17)3,0,0,0.1,0.15,0.75,0,0,0,0,0,1,0,0.17,0.83,0,0,1,0,0,0,1,2.4,373.54,322.23,1.12,51.85,12.3,813.57,6,32.09,2.39,84.65,7.65,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
1061,Cs0.05(FA0.83MA0.17)0.95Pb(I0.83Br0.17)3,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.17,0.83,0,0,1,0,0,0,1,2.43,341.85,323.38,1.07,47.35,10.46,837.9,6.22,30.11,2.48,86.29,7.74,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
1062,Cs0.17FA0.83Pb(Br0.17I0.83)3,0,0,0.17,0,0.83,0,0,0,0,0,1,0,0.17,0.83,0,0,1,0,0,0,1,2.4,425.25,345.08,1.23,59.99,14.87,768.62,5.75,35.59,2.27,84.88,7.66,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
1063,CsSn0.5Ge0.5I3,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,1,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.01,2991.5,858.31,6.31,95.66,120.5,735.35,19.5,312.34,1.98,41,4.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1064,CsSn_0.75Ge_0.25Br_3,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.08,2933.75,681.72,6.81,107.19,120.75,721.98,13.35,301.35,1.97,45.5,4.75,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
1065,CsSn_0.5Ge_0.5Br_3,0,0,1,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.01,2991.5,858.31,6.31,95.66,120.5,735.35,19.5,312.34,1.98,41,4.5,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
1066,CsSn_0.25Ge_0.75Br_3,0,0,1,0,0,0,0,0,0.75,0.25,0,0,1,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.94,3049.25,1034.9,5.82,84.13,120.25,748.73,25.65,323.32,2,36.5,4.25,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
1067,CsGeBr_3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,0.87,3107,1211.5,5.32,72.61,120,762.1,31.8,334.3,2.01,32,4,1.96,331.85,265.95,3.12,79.9,324.6,1139.9,5.29,14.72,2.96,35,4
1068,(FASnI3)0.6(MAPbI3)0.4,0,0,0,0.4,0.6,0,0,0,0,0.6,0.4,0,0,1,0,0,0,1,0,0,1,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1069,(FASnI3)0.6(MAPbI3)0.34(MAPbBr3)0.06,0,0,0,0.4,0.6,0,0,0,0,0.6,0.4,0,0.06,0.94,0,0,0,1,0,0,1,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.19,449.96,379.45,4.82,124.08,297.06,1016.29,7.61,20.53,2.68,51.92,4.94
1070,MA0.3FA0.7Pb0.5Sn0.5I3,0,0,0,0.3,0.7,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,1,2.42,303.4,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.6,7.7,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1071,FA0.5MA0.45Cs0.05Pb0.5Sn0.5I3,0,0,0.05,0.45,0.5,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,1,2.33,326.85,273.37,0.96,43.6,10.48,860.17,6.11,28.62,2.47,81.1,7.45,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1072,Cs0.025FA0.475MA0.5Sn0.5Pb0.5I3,0,0,0.03,0.5,0.47,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,1,2.33,308.62,266.01,0.92,40.76,9.56,875.86,6.2,27.39,2.52,81.1,7.45,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1073,FASn0.5Pb0.5I3,0,0,0,0,1,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1074,(FASnI3)0.6(MAPbI3)0.3(MAPbBr3)0.1,0,0,0,0.4,0.6,0,0,0,0,0.6,0.4,0,0.1,0.9,0,0,0,1,0,0,1,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.18,444.94,374.63,4.75,122.2,298.23,1021.55,7.51,20.28,2.69,51.2,4.9
1075,FA0.5MA0.5Pb0.5Sn0.5I3,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,1,2.35,293,267.32,0.9,38.56,8.64,887.7,6.31,26.43,2.56,82,7.5,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1076,CsSnI3,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1.74,944,301.54,1.87,132.91,45.49,375.7,2.09,67.74,0.79,55,6,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1077,MASnI3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1078,FA0.75Cs0.25Sn0.5Pb0.5I3,0,0,0.25,0,0.75,0,0,0,0,0.5,0.5,0,0,1,0,0,0,1,0,0,1,2.33,475.25,340.88,1.29,67.02,17.82,730.75,5.4,38.69,2.13,82,7.5,1.17,2449.5,552.88,9.33,162.95,115.5,712.05,5.98,234.13,2.15,66,5.5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1079,MAPb0.4Sn0.6I2.8Br0.2,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0.07,0.93,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.18,449.12,378.65,4.81,123.77,297.25,1017.17,7.6,20.49,2.68,51.8,4.93
1080,MAPb0.4Sn0.6I3,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0,1,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1081,MAPb0.4Sn0.6I2.6Br0.4,0,0,0,1,0,0,0,0,0,0.6,0.4,0,0.13,0.87,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2534.8,543.33,8.93,154.11,116.6,711.36,6.23,245.38,2.11,62.8,5.4,2.17,440.75,370.6,4.69,120.64,299.21,1025.93,7.43,20.08,2.7,50.6,4.87
1082,FAPb0.7Sn0.3I3,0,0,0,0,1,0,0,0,0,0.3,0.7,0,0,1,0,0,0,1,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1083,FA0.3MA0.7Pb0.7Sn0.3I3,0,0,0,0.7,0.3,0,0,0,0,0.3,0.7,0,0,1,0,0,0,1,0,0,1,2.28,282.6,232.66,0.82,35.96,8.66,903.14,6.24,25.4,2.56,78.4,7.3,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1084,FAPb0.75Sn0.25I3,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,1,0,0,0,1,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.18,2236.25,576.77,10.34,185.08,112.75,713.77,5.38,206.02,2.24,74,5.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1085,MAPb0.75Sn0.25I3,0,0,0,1,0,0,0,0,0,0.25,0.75,0,0,1,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.18,2236.25,576.77,10.34,185.08,112.75,713.77,5.38,206.02,2.24,74,5.75,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1086,FA0.7MA0.3Pb0.7Sn0.3I3,0,0,0,0.3,0.7,0,0,0,0,0.3,0.7,0,0,1,0,0,0,1,0,0,1,2.42,303.4,301.99,0.98,41.16,8.63,872.26,6.39,27.45,2.56,85.6,7.7,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1087,MAPb0.6Sn0.4I3,0,0,0,1,0,0,0,0,0,0.4,0.6,0,0,1,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.17,2364.2,562.44,9.73,171.8,114.4,712.74,5.74,222.89,2.18,69.2,5.6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1088,MAPb0.7Sn0.3I3,0,0,0,1,0,0,0,0,0,0.3,0.7,0,0,1,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.18,2278.9,571.99,10.14,180.65,113.3,713.43,5.5,211.64,2.22,72.4,5.7,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1089,FASnI3,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.15,2876,505.12,7.31,118.71,121,708.6,7.2,290.37,1.96,50,5,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1090,FA0.6MA0.4PbI3,0,0,0,0.4,0.6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.39,298.2,284.66,0.94,39.86,8.63,879.98,6.35,26.94,2.56,83.8,7.6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1091,FA0.85MA0.15PbI3,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1092,FAPbI3,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.53,319,354,1.1,45.06,8.6,849.1,6.5,29,2.57,91,8,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1093,FA0.95Cs0.05PbI3,0,0,0.05,0,0.95,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.49,350.25,351.38,1.14,49.45,10.44,825.43,6.28,30.94,2.48,89.2,7.9,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1094,(FAPbI3)0.9(MAPbBr3)0.1,0,0,0,0.1,0.9,0,0,0,0,0,1,0,0.1,0.9,0,0,0,1,0,0,1,2.49,313.8,336.66,1.06,43.76,8.61,856.82,6.46,28.48,2.57,89.2,7.9,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,444.94,374.63,4.75,122.2,298.23,1021.55,7.51,20.28,2.69,51.2,4.9
1095,Cs0.05FA0.70MA0.25PbI3,0,0,0.05,0.25,0.7,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.4,337.25,308.04,1.04,46.2,10.47,844.73,6.19,29.65,2.48,84.7,7.65,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1096,(FAPbI3)0.95(MAPbBr3)0.05,0,0,0,0.05,0.95,0,0,0,0,0,1,0,0.05,0.95,0,0,0,1,0,0,1,2.51,316.4,345.33,1.08,44.41,8.6,852.96,6.48,28.74,2.57,90.1,7.95,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.19,451.22,380.66,4.84,124.55,296.76,1014.97,7.64,20.59,2.67,52.1,4.95
1097,Cs0.05(FA0.92MA0.08)0.95Pb(I0.92Br0.08)3,0,0,0.05,0.08,0.87,0,0,0,0,0,1,0,0.08,0.92,0,0,0,1,0,0,1,2.46,346.3,338.2,1.11,48.46,10.45,831.3,6.25,30.55,2.48,87.83,7.82,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,447.45,377.04,4.79,123.14,297.64,1018.92,7.56,20.41,2.68,51.56,4.92
1098,(FAPbI3)0.92(MAPbBr3)0.08,0,0,0,0.08,0.92,0,0,0,0,0,1,0,0.08,0.92,0,0,0,1,0,0,1,2.5,314.84,340.13,1.07,44.02,8.61,855.28,6.47,28.59,2.57,89.56,7.92,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.18,447.45,377.04,4.79,123.14,297.64,1018.92,7.56,20.41,2.68,51.56,4.92
1099,(FAPbI3)0.85(MAPbBr3)0.15,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0.15,0.85,0,0,0,1,0,0,1,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1100,FA0.15MA0.85PbI3,0,0,0,0.85,0.15,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.22,274.8,206.65,0.76,34.01,8.67,914.72,6.19,24.62,2.55,75.7,7.15,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1101,FA0.85MA0.15Pb(I0.85Br0.15)3,0,0,0,0.15,0.85,0,0,0,0,0,1,0,0.15,0.85,0,0,0,1,0,0,1,2.48,311.2,328,1.04,43.11,8.61,860.68,6.44,28.23,2.57,88.3,7.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1102,MAPbI3,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.2,457.5,386.7,4.93,126.9,295.3,1008.4,7.76,20.9,2.66,53,5
1103,Cs0.05(MA0.17FA0.83)0.95Pb(I0.83Br0.17)3,0,0,0.05,0.16,0.79,0,0,0,0,0,1,0,0.17,0.83,0,0,0,1,0,0,1,2.43,341.93,323.64,1.07,47.37,10.46,837.78,6.22,30.11,2.48,86.32,7.74,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,436.14,366.17,4.62,118.91,300.28,1030.75,7.34,19.85,2.71,49.94,4.83
1104,Cs0.07Rb0.03FA0.765MA0.135PbI2.55Br0.45,0,0.03,0.07,0.14,0.76,0,0,0,0,0,1,0,0.15,0.85,0,0,0,1,0,0,1,2.4,374.99,325.68,1.11,50.66,12.34,813,6.02,32.22,2.39,84.43,7.63,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
1105,Cs0.05FA0.76MA0.19PbBr0.6I2.4,0,0,0.05,0.19,0.76,0,0,0,0,0,1,0,0.2,0.8,0,0,0,1,0,0,1,2.42,340.37,318.44,1.06,46.98,10.46,840.1,6.21,29.96,2.48,85.78,7.71,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.15,432.37,362.55,4.57,117.5,301.16,1034.7,7.27,19.67,2.72,49.4,4.8
1106,MAPb(I0.87Br0.13)3,0,0,0,1,0,0,0,0,0,0,1,0,0.13,0.87,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.17,441.17,371,4.69,120.79,299.11,1025.49,7.44,20.1,2.7,50.66,4.87
1107,MAPb(I0.88Br0.12)3,0,0,0,1,0,0,0,0,0,0,1,0,0.12,0.88,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.17,442.42,372.21,4.71,121.26,298.82,1024.18,7.46,20.16,2.7,50.84,4.88
1108,Cs0.05MA0.15FA0.8Pb(I0.75Br0.25)3,0,0,0.05,0.15,0.8,0,0,0,0,0,1,0,0.25,0.75,0,0,0,1,0,0,1,2.44,342.45,325.37,1.08,47.5,10.46,837.01,6.22,30.16,2.48,86.5,7.75,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,426.09,356.51,4.48,115.15,302.63,1041.28,7.14,19.36,2.74,48.5,4.75
1109,MAPb(I0.74Br0.26)3,0,0,0,1,0,0,0,0,0,0,1,0,0.26,0.74,0,0,0,1,0,0,1,2.17,267,180.65,0.7,32.07,8.68,926.3,6.13,23.85,2.55,73,7,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,424.83,355.31,4.46,114.68,302.92,1042.59,7.12,19.29,2.74,48.32,4.74
1110,Cs0.2FA0.8Pb(I0.75Br0.25)3,0,0,0.2,0,0.8,0,0,0,0,0,1,0,0.25,0.75,0,0,0,1,0,0,1,2.37,444,343.51,1.25,62.63,15.98,754.42,5.62,36.75,2.21,83.8,7.6,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.14,426.09,356.51,4.48,115.15,302.63,1041.28,7.14,19.36,2.74,48.5,4.75
1111,MA0.85Cs0.15Pb(I0.85Br0.15)3,0,0,0.15,0.85,0,0,0,0,0,0,1,0,0.15,0.85,0,0,0,1,0,0,1,2.11,368.55,198.78,0.88,47.19,14.2,843.71,5.52,30.43,2.29,70.3,6.85,1.19,2023,600.65,11.35,207.2,110,715.5,4.77,177.9,2.33,82,6,2.16,438.65,368.59,4.66,119.85,299.69,1028.12,7.39,19.97,2.7,50.3,4.85
